"version","cardId","name","charaId","nickName","school","attribute","gakunen","rarity","levelParam","skillId","choKaikaSkillId","cardNumber"
0,1,"【SR】あかニャン[ボス専用]",1,"ボス専用","-","Fire","-",2,"55,227,242,257,272,287,0,0,0,287",0,0,"[O.N.G.E.K.I.]*.**-****"
0,2,"【SR】あおニャン[ボス専用]",2,"ボス専用","-","Aqua","-",2,"55,227,242,257,272,287,0,0,0,287",0,0,"[O.N.G.E.K.I.]*.**-****"
0,3,"【SR】みどニャン[ボス専用]",3,"ボス専用","-","Leaf","-",2,"55,227,242,257,272,287,0,0,0,287",0,0,"[O.N.G.E.K.I.]*.**-****"
0,100001,"【N】星咲 あかり",1000,"","奏坂学園","Fire","高校2年生",0,"50,197,212,227,242,257,287,317,347,347",100000,100041,"[O.N.G.E.K.I.]1.00-0001"
0,100002,"【R】星咲 あかり[シューター・ドレス]",1000,"シューター・ドレス","奏坂学園","Fire","高校2年生",1,"50,197,212,227,242,257,0,0,0,257",100001,100042,"[O.N.G.E.K.I.]1.00-0005"
0,100003,"【R】星咲 あかり[体操着]",1000,"体操着","奏坂学園","Fire","高校2年生",1,"50,197,212,227,242,257,0,0,0,257",100004,100045,"[O.N.G.E.K.I.]1.00-0004"
0,100004,"【R】星咲 あかり[私服]",1000,"私服","奏坂学園","Fire","高校2年生",1,"50,197,212,227,242,257,0,0,0,257",100012,100053,"[O.N.G.E.K.I.]1.00-0003"
0,100005,"【SR】星咲 あかり[目指せ！　いっぱいのエール！]",1000,"目指せ！　いっぱいのエール！","奏坂学園","Fire","高校2年生",2,"55,227,242,257,272,287,0,0,0,287",100008,100049,"[O.N.G.E.K.I.]1.00-0008"
0,100006,"【SR】星咲 あかり[ようこそ！奏坂へ！]",1000,"ようこそ！奏坂へ！","奏坂学園","Fire","高校2年生",2,"55,227,242,257,272,287,0,0,0,287",100026,100067,"[O.N.G.E.K.I.]1.00-0007"
0,100007,"【SR】星咲 あかり[ドジっ子トラブル]",1000,"ドジっ子トラブル","奏坂学園","Fire","高校2年生",2,"55,227,242,257,272,287,0,0,0,287",100032,100073,"[O.N.G.E.K.I.]1.00-0104"
0,100008,"【SSR】星咲 あかり[揺るぎない想い]",1000,"揺るぎない想い","奏坂学園","Fire","高校2年生",3,"60,257,280,295,307,317,0,0,0,322",100034,100075,"[O.N.G.E.K.I.]1.00-0009"
0,100009,"【SSR】星咲 あかり[デイドリーム・フェアリーズ]",1000,"デイドリーム・フェアリーズ","奏坂学園","Fire","高校2年生",3,"65,270,291,304,314,322,0,0,0,327",100038,100079,"[O.N.G.E.K.I.]1.00-0010"
0,100010,"【N】藤沢 柚子",1001,"","奏坂学園","Leaf","高校2年生",0,"50,197,212,227,242,257,287,317,347,347",100000,100041,"[O.N.G.E.K.I.]1.00-0011"
0,100011,"【R】藤沢 柚子[シューター・ドレス]",1001,"シューター・ドレス","奏坂学園","Leaf","高校2年生",1,"50,197,212,227,242,257,0,0,0,257",100002,100043,"[O.N.G.E.K.I.]1.00-0015"
0,100012,"【R】藤沢 柚子[体操着]",1001,"体操着","奏坂学園","Leaf","高校2年生",1,"50,197,212,227,242,257,0,0,0,257",100004,100045,"[O.N.G.E.K.I.]1.00-0014"
0,100013,"【R】藤沢 柚子[私服]",1001,"私服","奏坂学園","Leaf","高校2年生",1,"50,197,212,227,242,257,0,0,0,257",100012,100053,"[O.N.G.E.K.I.]1.00-0013"
0,100014,"【SR】藤沢 柚子[目指せ！　いっぱいのエール！]",1001,"目指せ！　いっぱいのエール！","奏坂学園","Leaf","高校2年生",2,"55,227,242,257,272,287,0,0,0,287",100008,100049,"[O.N.G.E.K.I.]1.00-0018"
0,100015,"【SR】藤沢 柚子[笑顔のお裾分け]",1001,"笑顔のお裾分け","奏坂学園","Leaf","高校2年生",2,"55,227,242,257,272,287,0,0,0,287",100027,100068,"[O.N.G.E.K.I.]1.00-0017"
0,100016,"【SR】藤沢 柚子[お着替えターイム！]",1001,"お着替えターイム！","奏坂学園","Leaf","高校2年生",2,"55,227,242,257,272,287,0,0,0,287",100032,100073,"[O.N.G.E.K.I.]1.00-0105"
0,100017,"【SSR】藤沢 柚子[ハッピー☆マジック]",1001,"ハッピー☆マジック","奏坂学園","Leaf","高校2年生",3,"60,257,280,295,307,317,0,0,0,322",100034,100075,"[O.N.G.E.K.I.]1.00-0019"
0,100018,"【SSR】藤沢 柚子[デイドリーム・フェアリーズ]",1001,"デイドリーム・フェアリーズ","奏坂学園","Leaf","高校2年生",3,"65,270,291,304,314,322,0,0,0,327",100039,100080,"[O.N.G.E.K.I.]1.00-0020"
0,100019,"【N】三角 葵",1002,"","奏坂学園","Aqua","高校2年生",0,"50,197,212,227,242,257,287,317,347,347",100000,100041,"[O.N.G.E.K.I.]1.00-0021"
0,100020,"【R】三角 葵[シューター・ドレス]",1002,"シューター・ドレス","奏坂学園","Aqua","高校2年生",1,"50,197,212,227,242,257,0,0,0,257",100003,100044,"[O.N.G.E.K.I.]1.00-0025"
0,100021,"【R】三角 葵[体操着]",1002,"体操着","奏坂学園","Aqua","高校2年生",1,"50,197,212,227,242,257,0,0,0,257",100004,100045,"[O.N.G.E.K.I.]1.00-0024"
0,100022,"【R】三角 葵[私服]",1002,"私服","奏坂学園","Aqua","高校2年生",1,"50,197,212,227,242,257,0,0,0,257",100012,100053,"[O.N.G.E.K.I.]1.00-0023"
