shopID.,整理用No.,Ver.,出現フラグ,出現フラグ参照ID,条件,出現時間,消滅時間,MusicCode,価格,表示タイプ,Text,Type,Value(op),Value,対象曲,Difficulty(op),Difficulty,Level(op),Level,Grade(Op),Grade,GaugeType(op),GaugeType,HS(op),HS,APP,DAP,F-V,F-H,FullCombo,Combo(op),Combo,ClearRate(op),ClearRate,プレイ日,地域,
0,1,1.00.00,3,1,-,1411697520.0288,4096483201.0288,megaro,0,0,-,-1,-1,-1,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,
1,2,1.00.00,1,-1,-,1411697520.0288,4096483201.0288,nature,10,2,???,-1,-1,-1,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,
2,3,1.00.00,2,-1,-,1412103600.0288,4096483201.992,hopesb,30,1,「Landing on the moon」をSTANDARD以上でクリアする。,0,-1,-1,landin,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,
3,4,1.00.00,1,-1,-,1412103600.0288,4096483201.992,flower,10,0,-,-1,-1,-1,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,
4,5,1.00.02,1,-1,1&2&3,1412103600.0288,4096483201.992,reseed3,10,0,「Human Nature」「Hopes Bright」「Flowerwall」をクリアする。,-1,-1,-1,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,
5,6,1.00.00,1,-1,-,1411697520.0288,4096483201.0288,dennou,20,1,-,0,-1,-1,flower,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,,,
6,7,1.00.00,2,-1,5&7,1411697520.0288,4096483201.0288,romanc,10,1,-,-1,-1,-1,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,
7,8,1.00.00,1,-1,-,1411697520.0288,4096483201.0288,landin,40,1,-,-1,-1,-1,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,
8,9,1.00.00,1,-1,7,1411697520.0288,4096483201.0288,ididid,50,0,-,-1,-1,-1,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,,,
9,10,1.00.00,1,-1,-,1411697520.0288,4096483201.0288,crissc,60,0,MASTER以上の2曲S+以上フルコンボクリアする。,1,1,2,-,1,2,-1,0,1,1,1,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,,,
10,11,1.00.00,1,-1,-,1411697520.0288,4096483201.0288,dazzli,70,1,MASTER以上の4曲S+以上クリアする。,1,1,4,-,1,2,-1,0,1,1,1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,,,
11,12,1.00.00,1,-1,-,1411697520.0288,4096483201.0288,izimed,987654,1,MASTER以上の7曲S+以上クリアする。,1,1,7,-,1,2,-1,0,1,1,1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,,,
