GashaMedalShopItemId,GashaMedalShopId,CommonRewardType,CommonRewardId,CommonRewardNum,Strength,Property1PropertyId,Property1Value1,Property1Value2,Property2PropertyId,Property2Value1,Property2Value2,Property3PropertyId,Property3Value1,Property3Value2,Property4PropertyId,Property4Value1,Property4Value2
15701,15701,1,101000220,1,0,1,0,0,1,0,0,2,0,0,2,0,0
15702,15702,1,102000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
15703,15703,2,101000009,1,0,204000,5,0,1,0,0,2,0,0,2,0,0
15801,15801,8,212000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
15802,15802,8,201000060,1,0,1,0,0,1,0,0,1,0,0,1,0,0
15803,15803,8,297000090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
15901,15901,1,118000070,1,0,1,0,0,1,0,0,2,0,0,2,0,0
15902,15902,1,118000050,1,0,1,0,0,1,0,0,2,0,0,2,0,0
15903,15903,1,118000060,1,0,1,0,0,1,0,0,2,0,0,2,0,0
15904,15904,2,101000016,1,0,1,0,0,1,0,0,2,0,0,2,0,0
16301,16301,8,209000090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
16302,16302,8,202000110,1,0,1,0,0,1,0,0,1,0,0,1,0,0
16303,16303,8,205000070,1,0,1,0,0,1,0,0,1,0,0,1,0,0
16304,16304,8,206000070,1,0,1,0,0,1,0,0,1,0,0,1,0,0
16401,16401,8,212000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
16402,16402,8,201000060,1,0,1,0,0,1,0,0,1,0,0,1,0,0
16403,16403,8,297000090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
16501,16501,1,101000220,1,0,1,0,0,1,0,0,2,0,0,2,0,0
16502,16502,1,102000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
16503,16503,2,101000009,1,0,204000,5,0,1,0,0,2,0,0,2,0,0
16601,16601,1,105000190,1,0,1,0,0,1,0,0,2,0,0,2,0,0
16602,16602,1,106000190,1,0,1,0,0,1,0,0,2,0,0,2,0,0
16603,16603,2,103000007,1,0,1,0,0,1,0,0,1,0,0,1,0,0
16604,16604,2,109000006,1,0,204600,25,0,1,0,0,2,0,0,2,0,0
16801,16801,1,102000300,1,0,1,0,0,1,0,0,2,0,0,2,0,0
16802,16802,1,103000260,1,0,1,0,0,1,0,0,2,0,0,2,0,0
16803,16803,1,104000320,1,0,1,0,0,1,0,0,2,0,0,2,0,0
16804,16804,2,101000018,1,0,1,0,0,1,0,0,2,0,0,2,0,0
16805,16805,2,102000009,1,0,1,0,0,1,0,0,2,0,0,2,0,0
16806,16806,2,111000008,1,0,1,0,0,1,0,0,2,0,0,2,0,0
17201,17201,1,109000250,1,0,1,0,0,1,0,0,2,0,0,2,0,0
17202,17202,1,112000120,1,0,1,0,0,1,0,0,2,0,0,2,0,0
17203,17203,2,101000011,1,0,209900,30,0,1,0,0,2,0,0,2,0,0
17204,17204,2,101000014,1,0,1,0,0,1,0,0,2,0,0,2,0,0
17301,17301,8,204000090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17302,17302,8,209000100,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17303,17303,8,201000080,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17304,17304,8,202000140,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17305,17305,8,203000130,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17306,17306,8,205000090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17307,17307,8,206000100,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17308,17308,8,211000050,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17601,17601,1,111000200,1,0,1,0,0,1,0,0,2,0,0,2,0,0
17602,17602,1,106000250,1,0,1,0,0,1,0,0,2,0,0,2,0,0
17603,17603,1,105000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
17604,17604,2,101000012,1,0,1,0,0,1,0,0,2,0,0,2,0,0
17605,17605,2,103000004,1,0,204100,0,0,204800,5,0,2,0,0,2,0,0
17606,17606,2,109000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
17607,17607,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
17608,17608,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17609,17609,3,110250,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17610,17610,3,110260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17611,17611,3,110270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18001,18001,1,101000280,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18002,18002,1,102000320,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18003,18003,1,103000280,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18004,18004,2,101000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18005,18005,2,102000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18006,18006,2,105000004,1,0,202700,50,0,204700,1,0,2,0,0,2,0,0
18007,18007,2,120000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18008,18008,3,110240,1,0,1,0,0,1,0,0,1,0,0,1,0,0
