GashaMedalShopId,Name,GashaMedalId,UseGashaMedalNum,PurchaseLimit,StartDate,EndDate
15701,"≪不屈の誓い≫キリト",10002,300,-1,"2020/03/10 7:00:00","2020/03/31 2:00:00"
15702,"≪明日への誓い≫アスナ",10002,300,-1,"2020/03/10 7:00:00","2020/03/31 2:00:00"
15703,"ダークリパルサー",10002,60,-1,"2020/03/10 7:00:00","2020/03/31 2:00:00"
15801,"《恒久の愛情》ユージオ",10001,180,-1,"2020/03/03 7:00:00","2020/03/24 2:00:00"
15802,"《赤誠の求愛》キリト",10001,30,-1,"2020/03/03 7:00:00","2020/03/24 2:00:00"
15803,"《狂愛の誓い》クラディール",10001,30,-1,"2020/03/03 7:00:00","2020/03/24 2:00:00"
15901,"《空島繋ぐ架け橋》レイン",10159,150,-1,"2020/06/09 7:00:00","2020/07/21 2:00:00"
15902,"《一騎多閃》レイン",10159,30,-1,"2020/06/09 7:00:00","2020/07/21 2:00:00"
15903,"《温かな眼差し》レイン",10159,30,-1,"2020/06/09 7:00:00","2020/07/21 2:00:00"
15904,"ソード・オブ・ホグニ",10159,30,-1,"2020/06/09 7:00:00","2020/07/21 2:00:00"
16301,"《愛おしい日常》ユウキ",10163,90,-1,"2020/07/07 7:00:00","2020/07/28 2:00:00"
16302,"《早朝の誘い》アスナ",10163,15,-1,"2020/07/07 7:00:00","2020/07/28 2:00:00"
16303,"《花の女子高生》リズベット",10163,15,-1,"2020/07/07 7:00:00","2020/07/28 2:00:00"
16304,"《通学路の乙女》シリカ",10163,15,-1,"2020/07/07 7:00:00","2020/07/28 2:00:00"
16401,"《恒久の愛情》ユージオ",10001,180,-1,"2020/06/23 7:00:00","2020/07/14 2:00:00"
16402,"《赤誠の求愛》キリト",10001,30,-1,"2020/06/23 7:00:00","2020/07/14 2:00:00"
16403,"《狂愛の誓い》クラディール",10001,30,-1,"2020/06/23 7:00:00","2020/07/14 2:00:00"
16501,"≪不屈の誓い≫キリト",10002,300,-1,"2020/07/07 7:00:00","2020/07/28 2:00:00"
16502,"≪明日への誓い≫アスナ",10002,300,-1,"2020/07/07 7:00:00","2020/07/28 2:00:00"
