HeroLogId,CharaId,Name,Nickname,Rarity,WeaponTypeId,HeroLogRoleId,CostumeTypeId,UnitId,DefaultEquipmentId1,DefaultEquipmentId2,SkillTableSubId,HpMin,HpMax,StrMin,StrMax,VitMin,VitMax,IntMin,IntMax,Property1PropertyId,Property1Value1,Property1Value2,Property2PropertyId,Property2Value1,Property2Value2,Property3PropertyId,Property3Value1,Property3Value2,Property4PropertyId,Property4Value1,Property4Value2,FlavorText,SalePrice,CompositionExp,AwakeningExp,Slot4UnlockLevel,Slot5UnlockLevel,CutinImage,CutinImageAwake,CutinUpperSideText,CharaCommentImage,CharaCommentImageAwake,QuestStartIntroduce,QuestStartIntroduceAwake,QuestCharaIcon,QuestCharaIconAwake,QuestCharaIconLoss,QuestCharaIconAwakeLoss,CollectionDisplayStartDate,CollectionEmptyFrameDisplayFlag,DateVersionId,
101000010,1,"キリト","黒き妖精",1,1,4,0,101000010,201000000,-1,101000010,1000,100800,120,12096,50,5040,100,10080,1,0,0,1,0,0,99999,0,0,99999,0,0,"ALO初ログイン時の記録。SAOの<br>データを変換したため、姿は異な<br>るが各能力値はSAOから引き継が<br>れている。",100,1000,100,10,20,"hlog_101000010_kir_1_01_oha","hlog_101000010_kir_1_01_oha",False,"Chara_comment/101000010","Chara_comment/101000010","101000010_cha","101000010_cha","Chara_icon/101000010","Chara_icon/101000010","Chara_icon_loss/101000010","Chara_icon_loss/101000010","2019/01/01",True,"1",
101000020,1,"キリト","新生の黒き剣士",2,6,4,0,101000020,205000000,-1,101000020,1200,120960,144,14514,60,6050,120,12100,1,0,0,1,0,0,2,0,0,99999,0,0,"新生ALOにおける平時の記録。<br>逆立った髪はユイの要望により<br>下ろされた。",200,2000,100,10,20,"hlog_101000020_kir_2_01_kat","hlog_101000020_kir_2_01_kat",False,"Chara_comment/101000020","Chara_comment/101000020","101000020_cha","101000020_cha","Chara_icon/101000020","Chara_icon/101000020","Chara_icon_loss/101000020","Chara_icon_loss/101000020","2019/01/01",True,"1",
101000030,1,"キリト","空舞う双牙",2,2,4,0,101000030,201000000,201000000,101000030,1200,120960,144,14514,60,6050,120,12100,1,0,0,1,0,0,2,0,0,99999,0,0,"新生ALOにおける平時の記録。<br>逆立った髪はユイの要望により<br>下ろされた。",200,2000,100,10,20,"hlog_101000030_kir_2_01_nit","hlog_101000030_kir_2_01_nit",False,"Chara_comment/101000030","Chara_comment/101000030","101000030_cha","101000030_cha","Chara_icon/101000030","Chara_icon/101000030","Chara_icon_loss/101000030","Chara_icon_loss/101000030","2019/01/01",True,"1",
101000040,1,"キリト","神技の黒影",3,2,4,0,101000040,201000000,201000000,101000040,1400,141120,168,16932,70,7055,140,14110,1,0,0,1,0,0,2,0,0,99999,0,0,"SAOにおいて攻略組として最前線<br>に立っていた頃の記録。過酷な環<br>境下において彼はソロプレイヤー<br>であることを選び続けた。",400,6000,100,10,20,"hlog_101000040_kir_3_01_dag","hlog_101000040_kir_3_01_dag",False,"Chara_comment/101000040","Chara_comment/101000040","101000040_cha","101000040_cha","Chara_icon/101000040","Chara_icon/101000040","Chara_icon_loss/101000040","Chara_icon_loss/101000040","2019/01/01",True,"1",
101000050,1,"キリト","銃世界の黒き剣士",3,1,1,0,101000050,201000000,-1,101000050,1120,112900,204,20322,55,5645,140,14110,1,0,0,1,0,0,2,0,0,99999,0,0,"女性に見える容姿だが歴とした男<br>性素体。彼は銃の世界にあっても<br>従来の戦闘スタイルを選択した。",400,6000,100,10,20,"hlog_101000050_kir_3_01_oha","hlog_101000050_kir_3_01_oha",False,"Chara_comment/101000050","Chara_comment/101000050","101000050_cha","101000050_cha","Chara_icon/101000050","Chara_icon/101000050","Chara_icon_loss/101000050","Chara_icon_loss/101000050","2019/01/01",True,"1",
101000060,1,"キリト","漆黒の旋風",3,1,4,0,101000060,201000000,-1,101000060,1400,141120,168,16932,70,7055,140,14110,1,0,0,1,0,0,2,0,0,99999,0,0,"ALO初ログイン時の記録。SAOの<br>データを変換したため、姿は異な<br>るが各能力値はSAOから引き継が<br>れている。",400,6000,100,10,20,"hlog_101000060_kir_3_01_oha","hlog_101000060_kir_3_01_oha",False,"Chara_comment/101000060","Chara_comment/101000060","101000060_cha","101000060_cha","Chara_icon/101000060","Chara_icon/101000060","Chara_icon_loss/101000060","Chara_icon_loss/101000060","2019/01/01",True,"1",
101000070,1,"キリト","神速の刃",3,4,1,0,101000070,203000000,-1,101000070,1120,112900,204,20322,55,5645,140,14110,1,0,0,1,0,0,2,0,0,99999,0,0,"新生ALOにおける平時の記録。<br>逆立った髪はユイの要望により<br>下ろされた。",400,6000,100,10,20,"hlog_101000070_kir_3_01_nit","hlog_101000070_kir_3_01_nit",False,"Chara_comment/101000070","Chara_comment/101000070","101000070_cha","101000070_cha","Chara_icon/101000070","Chara_icon/101000070","Chara_icon_loss/101000070","Chara_icon_loss/101000070","2019/01/01",True,"1",
101000080,1,"キリト","黒の剣士",3,1,1,0,101000080,201000000,-1,101000080,1120,112900,204,20322,55,5645,140,14110,1,0,0,1,0,0,2,0,0,99999,0,0,"SAOにおいて攻略組として最前線<br>に立っていた頃の記録。過酷な環<br>境下において彼はソロプレイヤー<br>であることを選び続けた。",400,6000,100,10,20,"hlog_101000080_kir_3_01_oha","hlog_101000080_kir_3_01_oha",False,"Chara_comment/101000080","Chara_comment/101000080","101000080_cha","101000080_cha","Chara_icon/101000080","Chara_icon/101000080","Chara_icon_loss/101000080","Chara_icon_loss/101000080","2019/01/01",True,"1",
101000090,1,"キリト","光剣一閃",4,1,1,0,101000090,201000000,-1,101000090,1280,129020,228,23226,65,6450,160,16130,1,0,0,1,0,0,2,0,0,2,0,0,"一本の光剣で銃弾を斬り払い闘う<br>姿は第3回BoBにて広く知られ、<br>多くのプレイヤーに衝撃を与えた。",800,10000,100,10,20,"hlog_101000090_kir_4_01_oha","hlog_101000090_kir_4_01_oha",False,"Chara_comment/101000090","Chara_comment/101000090","101000090_cha","101000090_cha","Chara_icon/101000090","Chara_icon/101000090","Chara_icon_loss/101000090","Chara_icon_loss/101000090","2019/01/01",True,"1",
101000100,1,"キリト","二剣瞬撃",4,2,4,0,101000100,201000000,201000000,101000100,1600,161280,192,19356,80,8065,160,16130,1,0,0,1,0,0,2,0,0,2,0,0,"二刀流スキルが存在しないALOに<br>おいて二刀流を実現させたキリト<br>は、それぞれの剣でソードスキル<br>を発動させるまでに至った。",800,10000,100,10,20,"hlog_101000100_kir_4_01_nit","hlog_101000100_kir_4_01_nit",False,"Chara_comment/101000100","Chara_comment/101000100","101000100_cha","101000100_cha","Chara_icon/101000100","Chara_icon/101000100","Chara_icon_loss/101000100","Chara_icon_loss/101000100","2019/01/01",True,"1",
101000110,1,"キリト","団結と鼓舞",4,2,4,0,101000110,201000000,201000000,101000110,1600,161280,192,19356,80,8065,160,16130,1,0,0,1,0,0,2,0,0,2,0,0,"Unknownにて記録された一枚。こ<br>のログの存在は、過去はもとより<br>今この瞬間もUnknownに我々が記<br>録されていることを意味する。",800,10000,100,10,20,"hlog_101000110_kir_4_01_oha","hlog_101000110_kir_4_01_oha",False,"Chara_comment/101000110","Chara_comment/101000110","101000110_cha","101000110_cha","Chara_icon/101000110","Chara_icon/101000110","Chara_icon_loss/101000110","Chara_icon_loss/101000110","2019/01/01",True,"1",
