RewardTableId,UnanalyzedLogGradeId,CommonRewardId,CommonRewardType
142,1,101000000,2
143,2,101000001,2
144,3,101000002,2
145,4,101000008,2
146,5,101000004,2
147,1,102000000,2
148,2,102000001,2
149,3,102000002,2
150,4,102000003,2
151,5,102000004,2
152,1,103000000,2
153,2,103000001,2
154,3,103000002,2
155,4,103000003,2
156,5,103000004,2
157,1,105000000,2
158,2,105000001,2
159,3,105000002,2
160,4,105000003,2
161,5,105000004,2
162,1,108000000,2
163,2,108000001,2
164,3,108000002,2
165,4,108000003,2
166,5,108000004,2
167,1,109000000,2
168,2,109000001,2
169,3,109000002,2
170,4,109000003,2
171,5,109000004,2
172,1,111000000,2
173,2,111000001,2
174,3,111000002,2
175,4,111000003,2
176,5,111000004,2
177,1,112000000,2
178,2,112000001,2
179,3,112000002,2
180,4,112000003,2
181,5,112000004,2
182,1,120000000,2
183,2,120000001,2
184,3,120000002,2
185,4,120000003,2
186,5,120000004,2
187,1,101000010,1
188,2,101000030,1
189,3,101000040,1
190,1,102000010,1
191,2,102000030,1
192,3,102000070,1
193,1,103000010,1
194,2,103000040,1
195,3,103000070,1
196,1,104000010,1
197,2,104000030,1
198,3,104000070,1
199,1,105000010,1
200,2,105000040,1
201,3,105000070,1
202,1,106000010,1
203,2,106000030,1
204,3,106000070,1
205,1,107000010,1
206,2,107000040,1
207,3,107000070,1
208,1,108000010,1
209,2,108000030,1
210,3,108000050,1
212,1,101000000,2
213,2,101000001,2
214,3,101000002,2
215,4,101000008,2
216,5,101000004,2
218,1,101000000,2
219,2,101000001,2
220,3,101000002,2
221,4,101000008,2
222,5,101000004,2
223,1,102000000,2
224,2,102000001,2
225,3,102000002,2
226,4,102000003,2
227,5,102000004,2
228,1,103000000,2
229,2,103000001,2
230,3,103000002,2
231,4,103000003,2
232,5,103000004,2
233,1,105000000,2
234,2,105000001,2
235,3,105000002,2
236,4,105000003,2
237,5,105000004,2
238,1,108000000,2
239,2,108000001,2
240,3,108000002,2
241,4,108000003,2
242,5,108000004,2
243,1,109000000,2
244,2,109000001,2
245,3,109000002,2
246,4,109000003,2
247,5,109000004,2
248,1,111000000,2
249,2,111000001,2
250,3,111000002,2
251,4,111000003,2
252,5,111000004,2
253,1,112000000,2
254,2,112000001,2
255,3,112000002,2
256,4,112000003,2
257,5,112000004,2
258,1,120000000,2
259,2,120000001,2
260,3,120000002,2
261,4,120000003,2
262,5,120000004,2
263,1,101000010,1
264,2,101000020,1
265,2,101000030,1
266,3,101000040,1
267,3,101000050,1
268,3,101000060,1
269,3,101000070,1
270,3,101000080,1
271,1,102000010,1
272,2,102000020,1
273,2,102000030,1
274,2,102000040,1
275,3,102000050,1
276,3,102000060,1
277,3,102000070,1
278,3,102000080,1
279,1,103000010,1
280,2,103000020,1
281,2,103000030,1
282,2,103000040,1
283,3,103000050,1
284,3,103000060,1
285,3,103000070,1
286,3,103000080,1
287,1,104000010,1
288,2,104000020,1
289,2,104000030,1
290,2,104000040,1
291,3,104000050,1
292,3,104000060,1
293,3,104000070,1
294,3,104000080,1
295,1,105000010,1
296,2,105000020,1
297,2,105000030,1
298,2,105000040,1
299,3,105000050,1
300,3,105000060,1
301,3,105000070,1
302,3,105000080,1
303,1,106000010,1
304,2,106000020,1
305,2,106000030,1
306,2,106000040,1
307,3,106000050,1
308,3,106000060,1
309,3,106000070,1
310,3,106000080,1
311,1,107000010,1
312,2,107000020,1
313,2,107000030,1
314,2,107000040,1
315,3,107000050,1
316,3,107000060,1
317,3,107000070,1
318,3,107000080,1
319,1,108000010,1
320,2,108000020,1
321,2,108000030,1
322,2,108000040,1
323,3,108000050,1
324,3,108000060,1
325,3,108000070,1
326,3,108000080,1
327,2,180000,3
329,1,101000000,2
330,2,101000001,2
331,3,101000002,2
332,4,101000008,2
333,5,101000004,2
334,1,102000000,2
335,2,102000001,2
336,3,102000002,2
337,4,102000003,2
338,5,102000004,2
339,1,103000000,2
340,2,103000001,2
341,3,103000002,2
342,4,103000003,2
343,5,103000004,2
344,1,105000000,2
345,2,105000001,2
346,3,105000002,2
347,4,105000003,2
348,5,105000004,2
349,1,108000000,2
350,2,108000001,2
351,3,108000002,2
352,4,108000003,2
353,5,108000004,2
354,1,109000000,2
355,2,109000001,2
356,3,109000002,2
357,4,109000003,2
358,5,109000004,2
359,1,111000000,2
360,2,111000001,2
361,3,111000002,2
362,4,111000003,2
363,5,111000004,2
364,1,112000000,2
365,2,112000001,2
366,3,112000002,2
367,4,112000003,2
368,5,112000004,2
369,1,120000000,2
370,2,120000001,2
371,3,120000002,2
372,4,120000003,2
373,5,120000004,2
374,1,101000010,1
375,2,101000020,1
376,2,101000030,1
377,3,101000040,1
378,3,101000050,1
379,3,101000060,1
380,3,101000070,1
381,3,101000080,1
382,1,102000010,1
383,2,102000020,1
384,2,102000030,1
385,2,102000040,1
386,3,102000050,1
387,3,102000060,1
388,3,102000070,1
389,3,102000080,1
390,1,103000010,1
391,2,103000020,1
392,2,103000030,1
393,2,103000040,1
394,3,103000050,1
395,3,103000060,1
396,3,103000070,1
397,3,103000080,1
398,1,104000010,1
399,2,104000020,1
400,2,104000030,1
401,2,104000040,1
402,3,104000050,1
403,3,104000060,1
404,3,104000070,1
405,3,104000080,1
406,1,105000010,1
407,2,105000020,1
408,2,105000030,1
409,2,105000040,1
410,3,105000050,1
411,3,105000060,1
412,3,105000070,1
413,3,105000080,1
414,1,106000010,1
415,2,106000020,1
416,2,106000030,1
417,2,106000040,1
418,3,106000050,1
419,3,106000060,1
420,3,106000070,1
421,3,106000080,1
422,1,107000010,1
423,2,107000020,1
424,2,107000030,1
425,2,107000040,1
426,3,107000050,1
427,3,107000060,1
428,3,107000070,1
429,3,107000080,1
430,1,108000010,1
431,2,108000020,1
432,2,108000030,1
433,2,108000040,1
434,3,108000050,1
435,3,108000060,1
436,3,108000070,1
437,3,108000080,1
438,2,180000,3
440,1,101000000,2
441,2,101000001,2
442,3,101000002,2
443,4,101000008,2
444,5,101000004,2
446,1,102000000,2
447,2,102000001,2
448,3,102000002,2
449,4,102000003,2
450,5,102000004,2
451,1,112000000,2
452,2,112000001,2
453,3,112000002,2
454,4,112000003,2
455,5,112000004,2
457,1,101000000,2
458,2,101000001,2
459,3,101000002,2
460,4,101000008,2
461,5,101000004,2
462,1,120000000,2
463,2,120000001,2
464,3,120000002,2
465,4,120000003,2
466,5,120000004,2
468,1,111000000,2
469,2,111000001,2
470,3,111000002,2
471,4,111000003,2
472,5,111000004,2
473,1,120000000,2
474,2,120000001,2
475,3,120000002,2
476,4,120000003,2
477,5,120000004,2
479,1,109000000,2
480,2,109000001,2
481,3,109000002,2
482,4,109000003,2
483,5,109000004,2
484,1,112000000,2
485,2,112000001,2
486,3,112000002,2
487,4,112000003,2
488,5,112000004,2
490,1,103000000,2
491,2,103000001,2
492,3,103000002,2
493,4,103000003,2
494,5,103000004,2
495,1,112000000,2
496,2,112000001,2
497,3,112000002,2
498,4,112000003,2
499,5,112000004,2
501,1,105000000,2
502,2,105000001,2
503,3,105000002,2
504,4,105000003,2
505,5,105000004,2
506,1,120000000,2
507,2,120000001,2
508,3,120000002,2
509,4,120000003,2
510,5,120000004,2
512,1,108000000,2
513,2,108000001,2
514,3,108000002,2
515,4,108000003,2
516,5,108000004,2
517,1,120000000,2
518,2,120000001,2
519,3,120000002,2
520,4,120000003,2
521,5,120000004,2
523,1,101000010,1
524,1,103000010,1
525,2,103000030,1
526,2,103000040,1
