SupportLogId,CharaId,Name,Rarity,SupportLogTypeId,SalePrice,CompositionExp,AwakeningExp,UseRank,GroupNo,AdaptableAppearAppend,PunisherAppearAppend,State,PassiveState,PowerDefaultValue,CltDefaultValue,Awakening1Power,Awakening1Clt,Awakening2Power,Awakening2Clt,Awakening3Power,Awakening3Clt,Awakening4Power,Awakening4Clt,Awakening5Power,Awakening5Clt,NormalLeader,HoloLeader,UiDisplayPowerTitle,UiDisplayPowerContent,Prefab,CutinMode,SkillVoiceId,SkillName,NameInSkillCutin,SkillText,SkillTextInSkillCutin,CharaInfo,CutinImage,CutinImageAwake,StatusCharaIcon,StatusCharaIconAwake,CollectionDisplayStartDate,CollectionEmptyFrameDisplayFlag,DateVersionId,
201000010,999,"《赤の盟約》キリト",1,2,100,1500,100,1,0,0,0,"s201000010",,30,90,30,85,40,85,40,80,50,80,50,75,10,20,"ボーナス増加量","{0}%","skill_3_2line_moji86","un_2line_moji86","CH_KIR_SUP_006","ブラッド・プレッジ","ブラッド・〇〇〇〇〇〇プレッジ","30秒間、ラストアタックで<br>得られるボーナスポイントが<br>増加する。<br>覚醒で増加量が上昇。","ラストアタックで得られるボーナスポイント量上昇","伝説的に語られる《黒の剣士》<br>だが、彼にも敗北はあった。<br>聖騎士に敗れ《血盟騎士団》に<br>所属した時の記録。","slog_201000010","slog_201000010","Chara_icon/201000010","Chara_icon/201000010","2019/01/01",True,"1",
202000010,999,"《穢れなき願い》アスナ",2,1,200,5000,100,1,0,0,0,"s202000010",,60,120,60,114,65,114,65,108,70,102,75,96,10,20,"耐久値回復量","{0}%","skill_3_2line_moji86","un_2line_moji86","CH_ASU_SUP_006","ホープフル・ティアー","ホープフル・〇〇〇〇〇ティアー","戦闘不能状態のメンバーを2人<br>復帰させ、耐久値を回復する。<br>覚醒で復帰時の回復量が上昇。","戦闘不能状態の自パーティメンバー2人を復帰","かの《ALO事件》において特殊<br>な状況に置かれていた彼女。<br>どんなに過酷な逆境にあっても<br>その想いは高潔であった。","slog_202000010","slog_202000010","Chara_icon/202000010","Chara_icon/202000010","2019/01/01",True,"1",
208000010,999,"《灼熱の踊夫》エギル",3,3,400,10000,100,1,0,0,0,"s208000010",,20,130,20,124,25,118,30,112,32,106,34,100,5,10,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86","CH_AGI_SUP_006","ファイヤーカーニバル","ファイヤー〇〇〇〇〇カーニバル","攻撃に火属性を付与しSTRを<br>50％上昇させるとともに、<br>広範囲に火炎トラップを設置。<br>覚醒で効果時間が延長。","火属性付与＋STR上昇＋広範囲に火炎トラップ","男は祭りだ！そして炎だ！<br>ファイヤートーチを手に<br>血が滾ったのか、誰よりも<br>ヒートアップしているようだ。","slog_208000010","slog_208000010","Chara_icon/208000010","Chara_icon/208000010","2019/01/01",True,"1",
215000010,999,"《魔性の美貌》ストレア",2,3,200,5000,100,1,0,0,0,"s215000010",,10,90,10,85,12,85,12,80,14,75,15,70,2,4,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86",,"ミステリアスビューティ","ミステリアス〇〇〇〇〇ビューティ","敵に感知されず、他パーティの<br>ミニマップ上からも見えなくなり<br>移動速度も上昇する。<br>覚醒で効果時間が延長。","ハイディング＋移動速度上昇","《SAO》にてキリト達の前に<br>現れた謎の美女。かつては<br>ユイと同じ《MHCP》だったが<br>今では自由の身となっている。","slog_215000010","slog_215000010","Chara_icon/215000010","Chara_icon/215000010","2019/01/01",True,"1",
216000010,999,"《疾駆の斬撃》フィリア",2,2,200,5000,100,1,0,0,0,"s216000010",,10,80,10,75,12,75,12,70,14,65,15,60,2,4,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86",,"トレジャーハンティング","トレジャー〇〇〇〇〇ハンティング","スキルポーションとグリードの<br>位置がミニマップに表示され、<br>移動速度も上昇する。<br>覚醒で効果時間が延長。","スキルポーション＆グリードサーチ発動＋移動速度上昇","《SAO》に現れたホロウエリア<br>で出会った少女。キリトにより<br>助け出され、現在はトレジャー<br>ハンターとして活動している。","slog_216000010","slog_216000010","Chara_icon/216000010","Chara_icon/216000010","2019/01/01",True,"1",
217000010,999,"《七色の歌姫》セブン",2,3,200,5000,100,1,0,0,0,"s217000010",,15,120,15,114,20,114,20,108,25,102,27,96,5,10,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86",,"レインボー・コンサート","レインボー・〇〇〇〇コンサート","自パーティに敵の注目を集め、<br>一定範囲内の全パーティと全敵の<br>STRを80％上昇させる。<br>覚醒で効果時間が延長。","自パーティに敵の注目を集める＋全ユニットのSTR上昇","リアルでは七色博士としても<br>有名な少女。VR世界ではアイド<br>ル活動を行っていたが、現在は<br>休止している。","slog_217000010","slog_217000010","Chara_icon/217000010","Chara_icon/217000010","2019/01/01",True,"1",
218000010,999,"《千光の剣閃》レイン",2,2,200,5000,100,1,0,0,0,"s218000010",,40,120,40,114,45,114,45,108,50,102,52,96,5,10,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86","CH_RAI_SUP_004","マーグル・メキアー・レクン","マーグル・〇〇〇メキアー・レクン","攻撃時に50％の確率で<br>追加攻撃を発生させる。<br>覚醒で効果時間を延長。","攻撃時に確率で追加攻撃","《ALO》でキリト達と出会った<br>少女。レプラコーンのスキルを<br>応用した多刀流の使い手。セブン<br>の実の姉で、アイドルの卵。","slog_218000010","slog_218000010","Chara_icon/218000010","Chara_icon/218000010","2019/01/01",True,"1",
220000010,999,"《星光の笑顔》サチ",2,1,200,5000,100,1,0,0,0,"s220000010",,40,30,40,28,45,28,45,26,50,24,55,22,10,20,"耐久値回復量","{0}%","skill_3_2line_moji86","un_2line_moji86",,"ムーンナイト・ウィッシュ","ムーンナイト・〇〇〇〇ウィッシュ","自パーティの耐久値と状態異常を<br>回復する。<br>覚醒で回復量が上昇。","耐久値と状態異常を回復","《月夜の黒猫団》メンバー。<br>《SAO》で一時期キリトと<br>行動を共にした。臆病な所も<br>あるが、純粋で優しい少女。","slog_220000010","slog_220000010","Chara_icon/220000010","Chara_icon/220000010","2019/01/01",True,"1",
290000010,999,"《最愛の愛娘》ユイ",2,2,200,5000,100,1,0,0,0,"s290000010",,12,40,12,38,14,38,14,36,16,34,17,32,2,4,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86","CH_YUI_SUP_004","プログラム・オーソリティ","プログラム・〇〇〇〇オーソリティ","スキルポーションと<br>レコードメダル、グリードの<br>位置をミニマップに表示する。<br>覚醒で効果時間が延長。","スキルポーション＆レコードメダル＆グリードサーチ発動","《SAO》でキリトとアスナが<br>出会った女の子。二人のことを<br>「パパ」「ママ」と呼び慕う。<br>その絆は血の繋がりにも勝る。","slog_290000010","slog_290000010","Chara_icon/290000010","Chara_icon/290000010","2019/01/01",True,"1",
291000010,999,"《電脳の迷い子》リコ",4,3,800,15000,100,1,0,0,0,"s291000010",,20,120,25,108,30,102,32,96,34,90,36,84,5,10,"効果時間","{0}秒","skill_3_2line_moji86","un_2line_moji86","CH_REC_SUP_002","ネクストナビゲート","ネクスト〇〇〇〇〇〇ナビゲート","その時点で最も耐久値の少ない<br>大型モンスターの元へ転移する<br>ワープポイントを設置する。<br>覚醒で設置時間が延長。","ボス部屋へ移動するワープポイントを設置","《Unknown》で出会った謎の<br>少女。何故かプレイヤーに忠誠<br>心を抱いている。行きたい場所<br>があるようだが…？<br>","slog_291000010","slog_291000010","Chara_icon/291000010","Chara_icon/291000010","2019/01/01",True,"1",
