YuiMedalShopItemId,YuiMedalShopId,CommonRewardType,CommonRewardId,CommonRewardNum,Strength,Property1PropertyId,Property1Value1,Property1Value2,Property2PropertyId,Property2Value1,Property2Value2,Property3PropertyId,Property3Value1,Property3Value2,Property4PropertyId,Property4Value1,Property4Value2
1,1,1,101000190,1,0,1,0,0,1,0,0,2,0,0,2,0,0
2,2,1,110000150,1,0,1,0,0,1,0,0,2,0,0,2,0,0
3,3,2,120000003,1,0,302000,10,0,301900,20,0,2,0,0,2,0,0
4,4,2,101000004,1,0,200400,90,0,200400,90,0,2,0,0,2,0,0
5,5,2,102000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
6,6,2,103000004,1,0,204100,0,0,204800,5,0,2,0,0,2,0,0
7,7,2,109000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
8,8,2,112000004,1,0,305000,100,0,1,0,0,2,0,0,2,0,0
9,9,1,105000160,1,0,1,0,0,1,0,0,2,0,0,2,0,0
10,10,1,102000210,1,0,1,0,0,1,0,0,2,0,0,2,0,0
11,11,2,101000002,1,0,202400,75,0,202400,75,0,2,0,0,99999,0,0
12,12,2,105000004,1,0,202700,50,0,204700,1,0,2,0,0,2,0,0
13,13,2,108000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
14,14,2,111000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
15,15,2,107000004,1,0,205600,0,0,1,0,0,2,0,0,2,0,0
16,16,2,115000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
17,17,1,106000180,1,0,1,0,0,1,0,0,2,0,0,2,0,0
18,18,1,112000090,1,0,1,0,0,1,0,0,2,0,0,2,0,0
19,19,2,102000002,1,0,202600,50,0,202600,50,0,2,0,0,99999,0,0
20,20,2,101000004,1,0,200400,90,0,200400,90,0,2,0,0,2,0,0
21,21,2,102000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
22,22,2,103000004,1,0,204100,0,0,204800,5,0,2,0,0,2,0,0
23,23,2,109000004,1,0,1,0,0,1,0,0,2,0,0,2,0,0
24,24,2,112000004,1,0,305000,100,0,1,0,0,2,0,0,2,0,0
25,25,1,104000230,1,0,1,0,0,1,0,0,2,0,0,2,0,0
26,26,1,101000250,1,0,1,0,0,1,0,0,2,0,0,2,0,0
