YuiMedalShopId,Name,Description,SellingYuiMedal,SellingCol,SellingEventItemId,SellingEventItemNum,SellingTicketNum,PurchaseLimit,PickUpFlag,ProductCategory,SalesType,TargetDays,TargetHour,IntervalHour,SalesStartDate,SalesEndDate,Sort
1,"≪想い馳せる窓辺≫キリト",,5,-1,0,-1,-1,-1,True,0,0,0,0,0,"2019/08/01","2019/11/01 2:00:00",0
2,"≪悪戯なオネーサン≫アルゴ",,5,-1,0,-1,-1,-1,True,0,0,0,0,0,"2019/08/01","2019/11/01 2:00:00",0
3,"ネックレス",,2,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/08/01","2019/11/01 2:00:00",0
4,"エリュシデータ",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/08/01","2019/11/01 2:00:00",0
5,"アロンダイト",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/08/01","2019/11/01 2:00:00",0
6,"スクレープ",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/08/01","2019/11/01 2:00:00",0
7,"ジャイアント・タスク",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/08/01","2019/11/01 2:00:00",0
8,"スヴェル",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/08/01","2019/11/01 2:00:00",0
9,"≪信頼の口付け≫リズベット",,5,-1,0,-1,-1,-1,True,0,0,0,0,0,"2019/10/01 7:00:00","2019/12/01 2:00:00",0
10,"≪愛の誓い≫アスナ",,5,-1,0,-1,-1,-1,True,0,0,0,0,0,"2019/11/01 7:00:00","2020/01/01 2:00:00",0
11,"ブラックプレート",,1,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/11/01 7:00:00","2021/01/01 2:00:00",1
12,"ムラマサ",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/11/01 7:00:00","2021/01/01 2:00:00",0
13,"ヴェンデッタ",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/11/01 7:00:00","2021/01/01 2:00:00",0
14,"フェイルノート",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/11/01 7:00:00","2021/01/01 2:00:00",0
15,"ヴィズィー・ガジェット",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/11/01 7:00:00","2021/01/01 2:00:00",0
16,"MEBRカスタム",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2019/11/01 7:00:00","2021/01/01 2:00:00",0
17,"《宙吊りプラント》シリカ",,5,-1,0,-1,-1,-1,True,0,0,0,0,0,"2019/12/01 7:00:00","2020/02/01 2:00:00",0
18,"《奇想の相棒》ユージオ",,5,-1,0,-1,-1,-1,True,0,0,0,0,0,"2020/01/01 7:00:00","2020/03/01 2:00:00",0
19,"エペ・ド・マルブル",,1,-1,0,-1,-1,-1,False,0,0,0,0,0,"2020/01/01 7:00:00","2021/01/01 2:00:00",2
20,"エリュシデータ",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2020/01/01 7:00:00","2021/01/01 2:00:00",0
21,"アロンダイト",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2020/01/01 7:00:00","2021/01/01 2:00:00",0
22,"スクレープ",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2020/01/01 7:00:00","2021/01/01 2:00:00",0
23,"ジャイアント・タスク",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2020/01/01 7:00:00","2021/01/01 2:00:00",0
24,"スヴェル",,5,-1,0,-1,-1,-1,False,0,0,0,0,0,"2020/01/01 7:00:00","2021/01/01 2:00:00",0
25,"《疾風迅雷》シノン",,5,-1,0,-1,-1,-1,True,0,0,0,0,0,"2020/02/01 7:00:00","2020/04/01 2:00:00",0
26,"《愛受のはにかみ》キリト",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",20
27,"《甘い贈り物》アスナ",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",19
28,"《恋慕の微笑》リーファ",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",18
29,"《静穏の秘め事》シノン",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",17
30,"《親愛の鍛冶屋》リズベット",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",16
31,"《純情な恋路》シリカ",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",15
32,"《歓喜の照笑》クライン",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",14
33,"《義理堅い甘露》エギル",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",13
34,"《純粋な愛情》ユウキ",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",12
35,"《秘密の贈り物》アルゴ",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",11
36,"《裏腹な恋心》アリス",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",10
37,"《心届く笑顔》ユージオ",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",9
38,"EXPチップ《テラ》",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",7
39,"ゴールド《テラ》",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",4
40,"EXPチップ《キロ》",,-1,-1,10001,1,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",8
41,"ゴールド《キロ》",,-1,-1,10001,1,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",5
42,"EXPメモリ",,-1,-1,10001,5,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",6
43,"プラチナ",,-1,-1,10001,5,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",3
44,"プロパティアペンド",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",0
45,"コードイレイサー：1",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",0
46,"コードイレイサー：2",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",0
47,"コードイレイサー：3",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",0
48,"コードイレイサー：4",,-1,-1,10001,3,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",0
49,"ヒーローレベルアペンド《１》",,-1,-1,10001,20,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",0
50,"ウェポンレベルアペンド《１》",,-1,-1,10001,20,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",0
51,"アクセサリレベルアペンド《１》",,-1,-1,10001,20,-1,-1,False,0,0,0,0,0,"2020/02/11 7:00:00","2020/05/15 13:59:59",0
52,"《秘めた胸奥》リーファ",,5,-1,0,-1,-1,-1,True,0,0,0,0,0,"2020/03/01 7:00:00","2020/07/01 2:00:00",1
53,"《固守の決意》アリス",,5,-1,0,-1,-1,-1,True,0,0,0,0,0,"2020/06/09 7:00:00","2020/09/01 2:00:00",2
